page,rank,product_name,price,listed_at,country,shop,shop_total_sales,category,commission,sales_period,sales_growth,gmv_period,total_sales,total_gmv
1,,BLUE- 14K GOLD FINISH -NO CANCELATIONS,$1.00,2026-08-18,美国,GoldenHour,2.44万,时尚配件,-,909,,$2016,979,$979
1,,VVS1 Moissanite Jewelry,$1.00,2026-08-18,美国,BlingoJewelry,1.29万,时尚配件,-,750,,$1335,746,$1472
1,,MON (111) Grace -14K GOLD FINISH– NO CANCELLATIONS- ALL SALES ARE FINAL,$1.00,2026-08-18,美国,NOX JEWELS,3.01万,时尚配件,-,671,,$671,774,$774
1,4,"#1 Bracelets, earrings, etc. 8/18",$12.00,2026-08-18,美国,Letis Love,5.62万,时尚配件,-,594,,$7128,594,$7128
1,5,Auction!!!Only 1$!!!gogogo!!!,$12.00,2026-08-18,美国,Beam Jewelry,9443,时尚配件,-,561,,$2.04万,564,$6768
1,6,L3A mystery pulls [stainless steel] jewelry,$3.00,2026-08-18,美国,Joyshinefashion,5404,时尚配件,-,542,,$2140,552,$2180
1,7,AB5 Fashionable camera,$1.00,2026-08-18,美国,VetroLux Co,7949,时尚配件,-,532,,$1.06万,566,$566
1,8,"Handmade Knit Doll Pendant - Sunflower Resin Maria Figurine, DIY Craft Kit, Car Decorating Accessory for Cars with Flower Motifs, Unique Gift Idea",$11.99,2026-08-18,美国,GlowWeavepei,4927,时尚配件,12%,492,,$5606.08,870,$1.03万
1,9,ACABADO ORO 14K -SIN CANCELACIONES- ROJO,$1.00,2026-08-18,美国,GoldenHour,2.44万,时尚配件,-,446,,$446,447,$447
1,10,TUE (111) Grace -14K GOLD FINISH– NO CANCELLATIONS- ALL SALES ARE FINAL,$4.00,2026-08-18,美国,NOX JEWELS,3.01万,时尚配件,-,439,,$1756,439,$1756
2,11,14K GOLD FINISH-GREEN,$10.00,2026-08-18,美国,GoldenHour,2.44万,时尚配件,-,397,,$3970,410,$4100
2,12,moissanite-jewelryauction-wenny-11/8.18,$1.00,2026-08-18,美国,LUMIMOSSI,2832,时尚配件,-,353,,$353,367,$367
2,13,Burmese Curly Half Wig 250% Density 3 In 1 Wear Go Glueless Half Wig Upgrade With Drawstring Cap Invisible Hairline Human Hair Wigs,$92.32 - 151.66,2026-08-18,美国,Ishow Hair,6.42万,时尚配件,5%,342,,$3.19万,342,$3.21万
2,14,8/18-Snow-Rings GRA Moissanite Jewelry Blink,$1.00,2026-08-18,美国,BlinkGRAlab,5.53万,时尚配件,-,332,,$332,333,$333
2,15,Moissanite jewelry auction-Nora-08/18-5-B,$2.00,2026-08-18,美国,BestStoneshop,3.06万,时尚配件,-,288,,$3744,317,$634
2,16,NEW SIGNATURE JEWELRY,$8.00,2026-08-18,美国,dealafterdeal,1.95万,时尚配件,-,284,,$2272,284,$2272
2,17,Moissanite jewelry auction-lrene-08/18-5-A,$2.00,2026-08-18,美国,BestStoneshop,3.06万,时尚配件,-,269,,$794,337,$674
2,18,Monday Jewelry Show,$1.00,2026-08-18,美国,Scarlett.R,1.57万,时尚配件,-,227,,$227,227,$227
2,19,AB2 Fashionable camera,$1.00,2026-08-18,美国,VetroLux Co,7949,时尚配件,-,217,,$217,218,$218
2,20,S925 SOLID SILVER - MOISSANITE,$34.00,2026-08-18,美国,Helia Spark,3683,时尚配件,-,203,,$6009,162,$5508
3,21,SIGNATURE FASHION JEWELRY,$3.00,2026-08-18,美国,dealafterdeal,1.95万,时尚配件,-,187,,$1085,192,$576
3,23,RT Auction Hat- All Sales Final,$10.00,2026-08-18,美国,RT Clothing,1.07万,时尚配件,-,159,,$5178,213,$2130
3,24,Bracelets FINAL SALE,$10.00,2026-08-18,美国,Gold Blush,34.23万,时尚配件,-,158,,$1580,158,$1580
3,25,4-bling-gul8.17-beaded pen,$2.00,2026-08-18,美国,Bling US,89.06万,时尚配件,-,152,,$304,198,$396
3,26,Non tarnish ✨️No Cancel ✨️ No refund,$6.00,2026-08-18,美国,"Ojitos Negros, INC",6249,时尚配件,-,148,,$1227,159,$1431
3,27,"#2 Bracelets, Etc, 8/17",$10.00,2026-08-18,美国,Letis Love,5.62万,时尚配件,-,145,,$1450,145,$1450
3,28,Part 3 noche - Joyeria Variada-No cancels,$1.00,2026-08-18,美国,Abby Luxury,1.31万,时尚配件,-,143,,$143,151,$151
3,29,Xiao Watch,$1.00,2026-08-18,美国,Golden Still Jewelry,1257,时尚配件,-,141,,$141,145,$145
3,30,Gold Plated Jewelry/ Lindsay1,$13.00,2026-08-18,美国,Ever Luxe Jewels,7480,时尚配件,-,137,,$1895,139,$1946
4,32,GZMZC STAINLESS STEEL NECKLACE OR BRACELET $$$1,$1.00,2026-08-18,美国,ttsteeljewelry,2447,时尚配件,-,132,,$132,138,$138
4,33,$1 sale 8/18 Chloe,$4.00,2026-08-18,美国,VT crystal,2.83万,时尚配件,-,129,,$516,141,$564
4,36,Part 2 Tarde- Joyeria Variada-No cancels,$1.00,2026-08-18,美国,Abby Luxury,1.31万,时尚配件,-,125,,$125,153,$153
4,37,FX469- red Watch,$2.00,2026-08-18,美国,Fashionable Exquisite Watches,9.69万,时尚配件,-,123,,$2289,123,$246
4,38,Part 1 Mañana- Joyeria Variada-No cancels,$3.00,2026-08-18,美国,Abby Luxury,1.31万,时尚配件,-,123,,$369,136,$408
4,39,S925 Sterling Silver Oval Amethyst Celtic Trinity Knot Wide Band Ring Side Purple CZ Hollow Interwoven Filigree Statement Ring Unisex February Birthstone Irish Wicca Jewelry Anniversary St Patrick’s Day Valentine Gift For Him Her Women Men,$21.99,2026-08-18,美国,SilverRena Jewelry,9469,时尚配件,10%,120,,$2638.8,120,$2638.8
4,40,ITEM SHOWN ON SCREEN | HANDMADE POLYMER CLAY EARRINGS | ALL SALES FINAL,$30.00,2026-08-18,美国,Creative Clay,6470,时尚配件,-,118,,$3540,118,$3540
5,41,(KR) 14K Gold Plated Jewelry Exclusive,$1.00,2026-08-18,美国,Tewiky,75.46万,时尚配件,-,107,,$107,107,$107
5,42,ONE DOLLAR BIDDING1-2,$1.00,2026-08-18,美国,CASSIECA,9.92万,时尚配件,-,103,,$103,110,$110
5,43,"Rhinestone Balloon Dog Keychain with Rhinestone Strap, Multi Color Bling Bag Charm Accessory for Car Keys Handbag Decor, Perfect Daily & Holiday Gift for All Occasions",$1.00,2026-08-18,美国,KECNBAG,6.58万,时尚配件,12%,103,,$103,103,$103
5,44,"Free Gifts Color Elastic Hair Bands, Hair Ties Multi Color Hair Tie Elastic Rubber Bands for Baby Girls Small Elastic Hair Ties for Children Adult Mini Colorful Hair",$19.90,2026-08-18,美国,ITODAY Hair,5.99万,时尚配件,5%,102,,$2029.8,102,$2029.8
5,45,"Free Gifts Silk Hair Scrunchies for Women, 100% Mulberry Silk Hair Ties, No Damage for Hair 1-Pack",$19.99,2026-08-18,美国,ITODAY Hair,5.99万,时尚配件,5%,102,,$2038.98,102,$2038.98
5,46,"Gold-Plated , Final Sale",$7.00,2026-08-18,美国,FASHIONBICET,8688,时尚配件,-,102,,$714,102,$714
5,47,14k-Plated High-end Necklace,$6.00,2026-08-18,美国,Mirenx,1088,时尚配件,-,96,,$576,96,$576
5,48,"Women’s Crochet Clutch Bag – Lightweight Woven Cloud & Dumpling Design Ruched Knitted Fashion Purse,",$10.99,2026-08-18,美国,JFSIN shop,5557,时尚配件,15%,91,,$910,91,$909.62
5,49,"1pc Women's Lace Headband, Suitable For DailyWear, Summer Hair Accessory, Vacation BeachHeadband",$4.75,2026-08-18,美国,Shine-Spot,2408,时尚配件,-,90,,$427.5,126,$598.5
5,50,"#2 A.E 7/17/26 bracelets,necklaces,etc",$14.00,2026-08-18,美国,LEXX VIBES,9296,时尚配件,-,88,,$1232,88,$1232
6,51,ONE DOLLAR BIDDING 3-3,$1.00,2026-08-18,美国,CASSIECA,9.92万,时尚配件,-,85,,$85,135,$135
6,52,"PYKIO 4pcs Women's Soft Stretchy Headbands Winter Ear Warmers with Comfort Fit Solid Color Hair Accessories for Cold Weather Stylish Cozy Hairbands for Everyday & Formal Wear SpringStatements, Headbands For Women, 4Pcs/Set, Casual, Daily, Stretchy Fabric,",$7.00,2026-08-18,美国,BB549 shop,3715,时尚配件,15%,83,,$421,83,$420.66
6,53,"Lightweight alloy sunglasses, with polarized lenses providing full-band UV protection, are suitable for driving, outdoor activities, business, and leisure",$34.20,2026-08-18,美国,BeJoyMan,133,时尚配件,14.5%,83,,$2838.6,83,$2838.6
6,54,14K GOLD PLATED/FINAL SALE,$12.00,2026-08-18,美国,Nova Rose,5.47万,时尚配件,-,83,,$996,83,$996
6,55,PreWatchesmium Fine women,$1.00,2026-08-18,美国,Golden Still Jewelry,1257,时尚配件,-,82,,$82,82,$82
6,56,HATS,$13.00,2026-08-18,美国,Amigos Pro Shop,5.26万,时尚配件,-,82,,$1066,82,$1066
6,57,$1 CZ Gem auction 260818【Scarlett】,$1.00,2026-08-18,美国,Luvia Jewelry,1.02万,时尚配件,-,81,,$81,81,$81
6,58,Mona-8-18-A-1,$20.00,2026-08-18,美国,PPSJEWELRY,2.24万,时尚配件,-,80,,$1600,80,$1600
6,59,Last Jewelry piece,$1.00,2026-08-18,美国,POPOD Factory,5.76万,时尚配件,-,76,,$76,76,$76
6,60,$10 Gigi and Max Baby & Toddler - Final Sale,$19.00,2026-08-18,美国,Gigi and Max,3.47万,时尚配件,-,76,,$1444,125,$2375
7,61,ONE DOLLAR BIDDING 2-1,$1.00,2026-08-18,美国,CASSIECA,9.92万,时尚配件,-,73,,$73,73,$73
7,62,"Western Leopard Charm Smartwatch Band - Vintage Cactus, Cowboy Boot, Charm Pendants Accents, Boho Cowgirl Aesthetic Personalized Item, DIY Bag Accessory, Compatible With 38-49mm Smart Watches, Western & Smartwatch Accessories, Leopard Print, Boho Western",$9.99,2026-08-18,美国,VervePieces,4218,时尚配件,11%,71,,$709.29,71,$709.29
7,63,"6pcs Halloween Print Large Bow Ribbon Hair Clips Barrettes, Sweet Cool Funny Back-Of-Head Clip, School Season Halloween Gift, Girls' Hair Accessories",$3.93,2026-08-18,美国,QX Hair accessories,3578,时尚配件,-,71,,$279.03,71,$279.03
7,64,14k gold plated earrings,$6.00,2026-08-18,美国,LisiZen Jewelry,6.33万,时尚配件,-,70,,$420,70,$420
7,65,FREEKISS Fashion Jewelry,$1.00,2026-08-18,美国,FREEKISS OFFICIAL,12.18万,时尚配件,-,70,,$70,70,$70
7,66,Premium Fine Watches Womens,$1.00,2026-08-18,美国,Golden Still Jewelry,1257,时尚配件,-,69,,$69,69,$69
7,67,Quality Gold Filled Jewelry!,$12.00,2026-08-18,美国,BelikoSupplyz,3944,时尚配件,-,69,,$863,69,$863
7,68,"Men's Minimalistic RFID Wallet - Slim Carbon Fiber Pattern Synthetic Bifold Casual Wallet with Money Clip, Multi-Card Slots Credit Card Holder for Daily Travel, Basic, Slim Profile, Men's Wallet,clothes for back to school,first day of school outfits",$8.60,2026-08-18,美国,Mr. Surprise,6945,时尚配件,14%,68,,$611.32,68,$611.32
7,69,Hats,$55.00,2026-08-18,美国,Crowned Hats Club,8421,时尚配件,-,68,,$4362,68,$3740
7,70,Women Loose Short Sleeve Kaftan Dress Lightweight Beach Cover Up Casual Vacation Tunic Robe scarf summer,$3.99,2026-08-18,美国,KK-ARS,1.15万,时尚配件,10%,66,,$263.34,66,$263.34
8,71,GREEN- 14K GOLD FINISH -NO CANCELATIONS,$1.00,2026-08-18,美国,GoldenHour,2.44万,时尚配件,-,65,,$65,275,$275
8,72,Aura premium jewelry 8.18,$5.00,2026-08-18,美国,Soocosisx,3.32万,时尚配件,-,64,,$320,64,$320
8,73,14k plated stunning earrings,$6.00,2026-08-18,美国,LisiZen Jewelry,6.33万,时尚配件,-,59,,$354,59,$354
8,74,ONE DOLLAR BIDDING1-5,$1.00,2026-08-18,美国,CASSIECA,9.92万,时尚配件,-,59,,$59,59,$59
