rank,name,price,sales7,gmv7,sales_total,gmv_total,commission,listed_days,shop,category,rating,reviews,source
,BLUE- 14K GOLD FINISH -NO CANCELATIONS,1.0,909.0,2016.0,979.0,979.0,,4,GoldenHour,时尚配件,,,products_new_us.csv
,VVS1 Moissanite Jewelry,1.0,750.0,1335.0,746.0,1472.0,,4,BlingoJewelry,时尚配件,,,products_new_us.csv
,MON (111) Grace -14K GOLD FINISH– NO CANCELLATIONS- ALL SALES ARE FINAL,1.0,671.0,671.0,774.0,774.0,,4,NOX JEWELS,时尚配件,,,products_new_us.csv
4,"#1 Bracelets, earrings, etc. 8/18",12.0,594.0,7128.0,594.0,7128.0,,4,Letis Love,时尚配件,,,products_new_us.csv
5,Auction!!!Only 1$!!!gogogo!!!,12.0,561.0,2.04,564.0,6768.0,,4,Beam Jewelry,时尚配件,,,products_new_us.csv
6,L3A mystery pulls [stainless steel] jewelry,3.0,542.0,2140.0,552.0,2180.0,,4,Joyshinefashion,时尚配件,,,products_new_us.csv
7,AB5 Fashionable camera,1.0,532.0,1.06,566.0,566.0,,4,VetroLux Co,时尚配件,,,products_new_us.csv
8,"Handmade Knit Doll Pendant - Sunflower Resin Maria Figurine, DIY Craft Kit, Car Decorating Accessory for Cars with Flower Motifs, Unique Gift Idea",11.99,492.0,5606.08,870.0,1.03,12.0,4,GlowWeavepei,时尚配件,,,products_new_us.csv
9,ACABADO ORO 14K -SIN CANCELACIONES- ROJO,1.0,446.0,446.0,447.0,447.0,,4,GoldenHour,时尚配件,,,products_new_us.csv
10,TUE (111) Grace -14K GOLD FINISH– NO CANCELLATIONS- ALL SALES ARE FINAL,4.0,439.0,1756.0,439.0,1756.0,,4,NOX JEWELS,时尚配件,,,products_new_us.csv
41,(KR) 14K Gold Plated Jewelry Exclusive,1.0,107.0,107.0,107.0,107.0,,4,Tewiky,时尚配件,,,products_new_us.csv
42,ONE DOLLAR BIDDING1-2,1.0,103.0,103.0,110.0,110.0,,4,CASSIECA,时尚配件,,,products_new_us.csv
43,"Rhinestone Balloon Dog Keychain with Rhinestone Strap, Multi Color Bling Bag Charm Accessory for Car Keys Handbag Decor, Perfect Daily & Holiday Gift for All Occasions",1.0,103.0,103.0,103.0,103.0,12.0,4,KECNBAG,时尚配件,,,products_new_us.csv
44,"Free Gifts Color Elastic Hair Bands, Hair Ties Multi Color Hair Tie Elastic Rubber Bands for Baby Girls Small Elastic Hair Ties for Children Adult Mini Colorful Hair",19.9,102.0,2029.8,102.0,2029.8,5.0,4,ITODAY Hair,时尚配件,,,products_new_us.csv
45,"Free Gifts Silk Hair Scrunchies for Women, 100% Mulberry Silk Hair Ties, No Damage for Hair 1-Pack",19.99,102.0,2038.98,102.0,2038.98,5.0,4,ITODAY Hair,时尚配件,,,products_new_us.csv
46,"Gold-Plated , Final Sale",7.0,102.0,714.0,102.0,714.0,,4,FASHIONBICET,时尚配件,,,products_new_us.csv
47,14k-Plated High-end Necklace,6.0,96.0,576.0,96.0,576.0,,4,Mirenx,时尚配件,,,products_new_us.csv
48,"Women’s Crochet Clutch Bag – Lightweight Woven Cloud & Dumpling Design Ruched Knitted Fashion Purse,",10.99,91.0,910.0,91.0,909.62,15.0,4,JFSIN shop,时尚配件,,,products_new_us.csv
49,"1pc Women's Lace Headband, Suitable For DailyWear, Summer Hair Accessory, Vacation BeachHeadband",4.75,90.0,427.5,126.0,598.5,,4,Shine-Spot,时尚配件,,,products_new_us.csv
50,"#2 A.E 7/17/26 bracelets,necklaces,etc",14.0,88.0,1232.0,88.0,1232.0,,4,LEXX VIBES,时尚配件,,,products_new_us.csv
61,ONE DOLLAR BIDDING 2-1,1.0,73.0,73.0,73.0,73.0,,4,CASSIECA,时尚配件,,,products_new_us.csv
62,"Western Leopard Charm Smartwatch Band - Vintage Cactus, Cowboy Boot, Charm Pendants Accents, Boho Cowgirl Aesthetic Personalized Item, DIY Bag Accessory, Compatible With 38-49mm Smart Watches, Western & Smartwatch Accessories, Leopard Print, Boho Western",9.99,71.0,709.29,71.0,709.29,11.0,4,VervePieces,时尚配件,,,products_new_us.csv
63,"6pcs Halloween Print Large Bow Ribbon Hair Clips Barrettes, Sweet Cool Funny Back-Of-Head Clip, School Season Halloween Gift, Girls' Hair Accessories",3.93,71.0,279.03,71.0,279.03,,4,QX Hair accessories,时尚配件,,,products_new_us.csv
64,14k gold plated earrings,6.0,70.0,420.0,70.0,420.0,,4,LisiZen Jewelry,时尚配件,,,products_new_us.csv
65,FREEKISS Fashion Jewelry,1.0,70.0,70.0,70.0,70.0,,4,FREEKISS OFFICIAL,时尚配件,,,products_new_us.csv
66,Premium Fine Watches Womens,1.0,69.0,69.0,69.0,69.0,,4,Golden Still Jewelry,时尚配件,,,products_new_us.csv
67,Quality Gold Filled Jewelry!,12.0,69.0,863.0,69.0,863.0,,4,BelikoSupplyz,时尚配件,,,products_new_us.csv
68,"Men's Minimalistic RFID Wallet - Slim Carbon Fiber Pattern Synthetic Bifold Casual Wallet with Money Clip, Multi-Card Slots Credit Card Holder for Daily Travel, Basic, Slim Profile, Men's Wallet,clothes for back to school,first day of school outfits",8.6,68.0,611.32,68.0,611.32,14.0,4,Mr. Surprise,时尚配件,,,products_new_us.csv
69,Hats,55.0,68.0,4362.0,68.0,3740.0,,4,Crowned Hats Club,时尚配件,,,products_new_us.csv
70,Women Loose Short Sleeve Kaftan Dress Lightweight Beach Cover Up Casual Vacation Tunic Robe scarf summer,3.99,66.0,263.34,66.0,263.34,10.0,4,KK-ARS,时尚配件,,,products_new_us.csv
81,"Shark Keychains, Magnetic Heart Design, Metal Key Ring with Chain Design, Couples Accessory, Unique Fashion Pendant",2.61,50.0,130.5,535.0,1585.5,,4,Anime yina jewelry,时尚配件,,,products_new_us.csv
82,SIMULATED DIAMOND RING,46.0,49.0,2254.0,49.0,2254.0,,4,The Carat Lab,时尚配件,,,products_new_us.csv
84,"#348 Sunglasses/Scarfs for $9 Show Inspired by, No Cancels",5.0,46.0,230.0,46.0,230.0,,4,Value Outlets,时尚配件,,,products_new_us.csv
85,SINGLE STRAND,5.0,46.0,230.0,46.0,230.0,,4,blovedwaistbeads,时尚配件,,,products_new_us.csv
86,"Unisex Classic Retro Oval Metal-Frame Sunglasses for Adults, UV Protection Eyewear, Sunglasses for Women, Travel Accessory for Street Shooting & Sunny Daily Use",10.99,46.0,505.54,46.0,505.54,14.0,4,Mr. Surprise,时尚配件,,,products_new_us.csv
87,Tuesday Item Shown on Screen (Final Sale)- 1-1,15.0,45.0,675.0,45.0,675.0,,4,Truey Hats,时尚配件,,,products_new_us.csv
88,Sunglasses/Eye Wear (FINAL SALE) -No Cancellations NEW without tags. May need adjustments. BRILYN,1.0,44.0,44.0,44.0,44.0,,4,NanoTV,时尚配件,,,products_new_us.csv
89,"Trevoles Hat, Fashion Accessory for Daily Wear Casual Hat Stylish Hat",12.0,44.0,528.0,181.0,2172.0,,4,MHAZE,时尚配件,,,products_new_us.csv
90,14K Gold Plated Initial Heart Pendant Necklace Dainty Layered Y Chain Personalized Hollow Heart Letter A-Z Long Necklace Sunshine Beach Jewelry Holiday Gift Couple Necklace,6.72,43.0,288.96,43.0,288.96,5.0,4,Seasons Jewel,时尚配件,,,products_new_us.csv
101,Tewiky (K) 14K Gold Plated Jewelry Exclusive K,1.0,36.0,77.0,36.0,36.0,,4,Tewiky,时尚配件,,,products_new_us.csv
102,jewelry,6.0,36.0,260.0,36.0,260.0,,4,Bcdiamonds,时尚配件,,,products_new_us.csv
103,ONE DOLLAR BIDDING 3-1,1.0,35.0,35.0,35.0,35.0,,4,CASSIECA,时尚配件,,,products_new_us.csv
104,"Teardrop Pendant Navel Ring, No Piercing Required, Non Piercing Jewelry, Fake Belly Button Ring, Unisex Body Jewelry, Body Jewellery, Belly Jewelry, Geometric Style, Copper Chain Material",3.29,35.0,115.15,35.0,115.15,,4,BodyPix,时尚配件,,,products_new_us.csv
