rank,name,price,sales7,gmv7,sales_total,gmv_total,commission,listed_days,shop,category,rating,reviews,sales_growth,source
,Elegant Silver Snake Chain Necklace – Timeless Style for Every Occasion Summervibes,9.49,18600.0,195800.0,103200.0,1158200.0,11.0,,SunnySide Studio,项链,,,-5.06,products_sales_us.csv
,Anxiety Rings for Women and Men Titanium Steel Spinner Fidget Band Rings with Cubic Zirconia for Stress Relief and Wedding Promise Comfort Fit Size 5 to 12,9.3,17000.0,178500.0,69600.0,731000.0,10.0,,Senpeo,戒指,,,135.27,products_sales_us.csv
,"Fashion Geometric Double-Beam Sunglasses - 2026 Fall/Summer Trend, High-Quality Lightweight Durable Metal-Framed Sunglasses, Funky Fashionable Frames Men's Accessory, Boyfriend Birthday Gift, Gifts for Boyfriend, Lightweight Durable Sunglasses, High Quali",,13000.0,183500.0,161200.0,2115000.0,10.0,,Zen Zest,镜框与镜片,,,-29.94,products_sales_us.csv
4,〖Summer Vibes〗3 PCS Retro Oval Sunglasses for Women Chic Cat Eye 90s Sunnies Lightweight Narrow Shades Trendy UV Protection Sunglasses Vintage Rich Girl Sunglasses Women Sunglasseswomen,11.9,12500.0,168900.0,62600.0,844100.0,15.0,,TS Fashion Boutique,太阳镜,,,15.29,products_sales_us.csv
5,"Kimorn Fashion Glasses for Women, High Quality Lightweight Square Frames with Blue Light Blocking & UV400 Protection, Gifts for Women, High Quality Eyewear, Accessories For Women",,11200.0,172000.0,42500.0,587400.0,15.0,,AE Glasses,镜框与镜片,,,97.59,products_sales_us.csv
6,"Women's Elegant Chic Geometric Print Robe Set, Casual Fitted Long Dress & Scarf, Beach Resort Wear Sun Protection Satin Matching Set Shawl",,10300.0,89100.0,30300.0,346300.0,8.0,,kkher,围巾&围脖,,,7622.39,products_sales_us.csv
7,Summervibes Dreamlover Brown Black Wig Grip Band 2pcs for Women Adjustable Headband for Keeping Wigs in Place Non Slip Comfortable Breathable Hair Styling Tool,10.0,10300.0,130700.0,49700.0,588800.0,10.0,,Dreamlover Online,接发与假发配件,,,2141.52,products_sales_us.csv
8,FREEKISS Chunky Cuban Link Chain Anklet for Women Waterproof Anklet Adjustable Length 8.5+2 Inch Fashion Chic Accessories Stackable Anklet Trendy Layered Anklet Set Jewelry Gift Suitable for Summer Beach Vacations backtoschool,,9824.0,129400.0,74400.0,989900.0,13.0,,FREEKISS OFFICIAL,脚链,,,-36.59,products_sales_us.csv
9,"Women's Fashion Floral Print Shawl, Breathable Beach Cover-Up, Geometric Pattern, All-Season Fitted Wrap, Summer Essential",5.6,9211.0,58900.0,20900.0,144300.0,8.0,,kkher,围巾&围脖,,,42.98,products_sales_us.csv
10,"EUNOIALENS Rimless High Quality Eyewear, Frameless Glasses with Diamond-Cut Edges, Stainless Steel Fashion Temple Decor, Unisex Adults' Accessories for Daily Use, Mens Gifts. summerwins,summerwins, Father's Day Gifts,summer outifit,travel essentials",,9091.0,109200.0,93400.0,1191600.0,15.0,,DS high quality goods,镜框与镜片,,,48.86,products_sales_us.csv
11,"【FitOver Sunglasses】1/2Pcs Women's Fit Over Prescription Sunglasses - Oversized Square Full-Rim Plastic Frames Mirrored Polarized , UV400 Protection, Trendy Sunglasses, Unisex Fashion Accessory for Summer Wins, Accessories for Women The Choice of Gifts",9.2,8643.0,91900.0,27800.0,329100.0,17.0,,Huixin Fashion,太阳镜,,,-11.97,products_sales_us.csv
12,Unisex Plain Color Multifunctional Skull Caps 2026 Summer Sportive Beanie Fitted Hat for Men Women Stretchy Helmet Liner Biking Accessory Back To School Birthday Outfit Machine Washable Polyamide SpringStatements Fitting Outdoor Hat,,8267.0,71200.0,69800.0,440700.0,15.0,,love home-based,帽子,,,33.71,products_sales_us.csv
13,"Headbands for Women, 4-Piece Elegant Butterfly Set with Wavy Crystal Design, Lightweight & Non-Slip Girly Feminine Accessories for Parties, Women's Fashion, Accessories For Women",,8212.0,79000.0,19800.0,191500.0,15.0,,JJBD Shop,发带发箍,,,39.75,products_sales_us.csv
14,[Random Color] OQ 1 Count Cute Colorful Hair Clips,19.9,8210.0,163300.0,10700.0,213600.0,3.0,,OQ HAIR SHOP,真人发前蕾丝头套,,,422.93,products_sales_us.csv
15,TEWIKY (NINI) Necklace 14K Gold Plated Jewelry Exclusive NINI,17.99,8159.0,146700.0,9282.0,166900.0,,,Tewiky,项链,,,2531.94,products_sales_us.csv
