rank,name,price,sales7,gmv7,sales_total,gmv_total,commission,listed_days,shop,category,rating,reviews,source,price_score,growth_score,commission_score,competition_score,lifecycle_score,shop_score,market_heat,viability,potential,markers
69,Heather Gray Set & Flow Active Curling Headband – Kitsch Heatless Hair Curler for Soft Waves & Curls,20.6,4382.0,12.57,1.18,32.48,17.0,,Kitsch,卷发器,,,products_sales_us.csv,100.0,67.7,85.0,100.0,60.0,60.0,65.4,88.2,80.1,高潜力
21,"Magnetic Glasses Holder - Premium Strength Magnetic Hold - Fits All Frames - Lifetime Warranty - Made in USA - Secures and Protects Readers, Sunglasses, Blue Light Glasses, or Safety Glasses - Badge Holder Accessory",,7935.0,7.77,1.05,10.4,20.0,,Readerest,眼镜盒与配件,,,products_sales_us.csv,60.0,92.7,100.0,44.0,60.0,60.0,82.9,66.8,73.4,高佣爆款
130,"8 Sizes Invisible Ring Adjuster, Soft Silicone Ring Sizer for Loose Rings, Comfortable Ring Spacer Fits Most Women's & Men's Rings",8.7,3240.0,3.11,9.83,92.38,15.0,,Amberart US,珠宝调节保护工具,,,products_sales_us.csv,100.0,52.9,75.0,92.0,60.0,60.0,55.0,84.2,72.9,
11,"【FitOver Sunglasses】1/2Pcs Women's Fit Over Prescription Sunglasses - Oversized Square Full-Rim Plastic Frames Mirrored Polarized , UV400 Protection, Trendy Sunglasses, Unisex Fashion Accessory for Summer Wins, Accessories for Women The Choice of Gifts",9.2,8643.0,9.19,2.78,32.91,17.0,,Huixin Fashion,太阳镜,,,products_sales_us.csv,100.0,81.4,85.0,20.0,60.0,60.0,75.0,72.2,72.2,价格战红海;高佣爆款
188,"A special gift: a breathable ankle support strap, ankle brace, or sports ankle support strap, suitable for sports, fitness, running, rock climbing, cycling, tennis, healthcare, and other occasions. (SpringStatements)",10.48,2714.0,3.31,1.35,16.62,14.0,,DDBD shop,服饰配件套装,,,products_sales_us.csv,100.0,56.2,70.0,84.0,60.0,60.0,57.4,81.3,72.0,
19,"JBEXTENSION 1 Pieces Black Wig Cap, Wig Caps for Women Lace Front Wig Stocking Caps for Wigs Wig Cap Black Wig Cap 1 Pcs",6.99,8024.0,6.07,3.45,25.55,10.0,,Jbextension.usa,化纤前蕾丝头套,,,products_sales_us.csv,100.0,76.7,50.0,60.0,60.0,60.0,71.7,71.5,71.5,
377,"8 Pcs Pearl Brooch Pins,Safety Pins for Clothing Dress pants skirt Cardigan Collar，Faux Pearl Rhinestones Brooches for Women Girls Pants Extender Safety Pins",7.99,1773.0,8264.76,4706.0,2.11,14.0,,QuorraHub,领夹&胸针,,,products_sales_us.csv,100.0,46.5,70.0,100.0,60.0,60.0,50.5,84.5,71.4,
343,YLNWH Bracelet Helper Tool for Self-Wearing Fastening Assistant Easy to Use Versatile for Various Bracelets User-Friendly Design Ideal for Everyday Use,8.49,1876.0,1.71,6878.0,6.05,15.0,,Nuvilite,珠宝调节保护工具,,,products_sales_us.csv,100.0,46.9,75.0,92.0,60.0,60.0,50.8,84.2,71.1,
20,"JBextension 1 Pieces Beige Wig Cap, Wig Caps for Women Lace Front Wig Stocking Caps for Wigs Nude Wig Cap Beige Wig Cap 1 Pcs",6.29,7992.0,5.66,11.92,83.49,10.0,,Jbextension.usa,化纤前蕾丝头套,,,products_sales_us.csv,100.0,71.4,50.0,60.0,60.0,60.0,68.0,71.5,69.9,
17,"EUNOIALENS Fit-Over Sunglasses Women's Oversized Full-Rim Plastic Fit-Over Sunglasses - Polarized UV400 UV-Protection Lenses, Lightweight, Bold Look, Ideal for Vacation, Women's Gifts, Sunglasses For Women, Accessories For Women",9.9,8076.0,8.81,2.91,33.0,15.0,,DS high quality goods,太阳镜,,,products_sales_us.csv,100.0,78.3,75.0,20.0,60.0,60.0,72.8,69.8,69.7,价格战红海
